,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Score
85,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Cardinals,Chargers,Buccaneers,0.933
86,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Cardinals,Chargers,Buccaneers,0.933
87,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Cardinals,Colts,Buccaneers,0.933
88,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Cardinals,Colts,Buccaneers,0.933
89,Bills,Packers,Jets,49ers,Browns,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Cardinals,Falcons,Buccaneers,0.932
90,Bills,Packers,Browns,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Cardinals,Falcons,Buccaneers,0.932
91,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Chargers,Falcons,Buccaneers,0.932
92,Bills,Packers,Jets,49ers,Browns,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Cardinals,Falcons,Buccaneers,0.932
93,Bills,Packers,Jets,49ers,Browns,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Cardinals,Falcons,Buccaneers,0.932
94,Bills,Packers,Browns,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Cardinals,Falcons,Buccaneers,0.932
95,Bills,Packers,Browns,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Cardinals,Falcons,Buccaneers,0.932
96,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Saints,Falcons,Buccaneers,0.932
